Model, Acc(Test), Acc(Validation), #SV, parameters
Best model(Coarse grain), 96.666667, 89.655172, 38, "{'c': 64, 'coef0': 2, 'degree': 4, 'gama': 4}"
Best model(Fine grain), 96.666667, 89.655172, 40, "{'c': 74.0, 'coef0': 3.0, 'degree': 4.5, 'gama': 9.7142857142857153}"
Random model(1),93.333333, 79.310345, 39, "{'c': 32, 'coef0': 1, 'degree': 3, 'gama': 4}"
Random model(2),76.666667, 62.068966, 30, "{'c': 8, 'coef0': -3, 'degree': 3, 'gama': 1}"
Random model(3),90.000000, 82.758621, 48, "{'c': 2, 'coef0': 2, 'degree': 4, 'gama': 0.125}"
Random model(4),76.666667, 65.517241, 62, "{'c': 0.25, 'coef0': -3, 'degree': 4, 'gama': 3.0517578125e-05}"
Random model(5),56.666667, 51.724138, 62, "{'c': 2, 'coef0': -3, 'degree': 4, 'gama': 0.001953125}"
Random model(6),76.666667, 65.517241, 63, "{'c': 8, 'coef0': 2, 'degree': 4, 'gama': 6.103515625e-05}"
Random model(7),76.666667, 65.517241, 63, "{'c': 64, 'coef0': -1, 'degree': 1, 'gama': 0.0001220703125}"
Random model(8),90.000000, 75.862069, 40, "{'c': 64, 'coef0': 2, 'degree': 4, 'gama': 0.0625}"
Random model(9),83.333333, 89.655172, 60, "{'c': 2, 'coef0': 2, 'degree': 1, 'gama': 0.25}"
Random model(10),90.000000, 82.758621, 49, "{'c': 32, 'coef0': 1, 'degree': 3, 'gama': 0.0625}"
Random model(11),76.666667, 65.517241, 63, "{'c': 0.5, 'coef0': 2, 'degree': 2, 'gama': 0.03125}"
Random model(12),76.666667, 65.517241, 63, "{'c': 32, 'coef0': 2, 'degree': 2, 'gama': 3.0517578125e-05}"
Random model(13),76.666667, 65.517241, 64, "{'c': 4, 'coef0': 1, 'degree': 3, 'gama': 0.0078125}"
Random model(14),76.666667, 65.517241, 62, "{'c': 0.125, 'coef0': 0, 'degree': 1, 'gama': 0.0001220703125}"
Random model(15),76.666667, 65.517241, 62, "{'c': 16, 'coef0': 0, 'degree': 2, 'gama': 0.000244140625}"
Random model(16),96.666667, 79.310345, 37, "{'c': 1, 'coef0': 1, 'degree': 3, 'gama': 4}"
Random model(17),66.666667, 55.172414, 62, "{'c': 32, 'coef0': -1, 'degree': 4, 'gama': 0.00048828125}"
Random model(18),80.000000, 65.517241, 37, "{'c': 8, 'coef0': -2, 'degree': 3, 'gama': 0.125}"
Random model(19),76.666667, 65.517241, 62, "{'c': 0.125, 'coef0': -2, 'degree': 1, 'gama': 3.0517578125e-05}"
Random model(20),90.000000, 82.758621, 49, "{'c': 2, 'coef0': 2, 'degree': 1, 'gama': 2}"
