Model, Acc(Test), Acc(Validation), #SV, parameters
Best model(Coarse grain), 86.666667, 89.655172, 55, "{'c': 64, 'coef0': 0, 'gama': 0.5}"
Best model(Fine grain), 96.666667, 89.655172, 35, "{'c': 74.0, 'coef0': 1.0, 'gama': 0.5}"
Random model(1),83.333333, 65.517241, 33, "{'c': 32, 'coef0': -2, 'gama': 0.125}"
Random model(2),76.666667, 65.517241, 63, "{'c': 0.5, 'coef0': 2, 'gama': 0.00390625}"
Random model(3),76.666667, 65.517241, 62, "{'c': 1, 'coef0': 0, 'gama': 0.00048828125}"
Random model(4),90.000000, 82.758621, 50, "{'c': 32, 'coef0': 1, 'gama': 0.125}"
Random model(5),73.333333, 79.310345, 36, "{'c': 0.25, 'coef0': -1, 'gama': 2}"
Random model(6),83.333333, 65.517241, 39, "{'c': 4, 'coef0': -3, 'gama': 0.125}"
Random model(7),76.666667, 65.517241, 63, "{'c': 0.5, 'coef0': 2, 'gama': 0.001953125}"
Random model(8),86.666667, 62.068966, 30, "{'c': 64, 'coef0': -3, 'gama': 0.125}"
Random model(9),76.666667, 65.517241, 62, "{'c': 32, 'coef0': 0, 'gama': 3.0517578125e-05}"
Random model(10),76.666667, 65.517241, 62, "{'c': 2, 'coef0': 0, 'gama': 0.0078125}"
Random model(11),76.666667, 65.517241, 63, "{'c': 0.125, 'coef0': -1, 'gama': 0.5}"
Random model(12),76.666667, 65.517241, 62, "{'c': 1, 'coef0': 0, 'gama': 0.000244140625}"
Random model(13),76.666667, 65.517241, 62, "{'c': 4, 'coef0': -1, 'gama': 6.103515625e-05}"
Random model(14),83.333333, 89.655172, 57, "{'c': 64, 'coef0': 2, 'gama': 0.0009765625}"
Random model(15),76.666667, 65.517241, 62, "{'c': 0.25, 'coef0': 0, 'gama': 6.103515625e-05}"
Random model(16),83.333333, 89.655172, 57, "{'c': 4, 'coef0': -2, 'gama': 0.015625}"
Random model(17),76.666667, 65.517241, 63, "{'c': 16, 'coef0': -2, 'gama': 6.103515625e-05}"
Random model(18),76.666667, 65.517241, 62, "{'c': 4, 'coef0': 0, 'gama': 0.0078125}"
Random model(19),76.666667, 65.517241, 62, "{'c': 32, 'coef0': 0, 'gama': 0.0001220703125}"
Random model(20),80.000000, 75.862069, 64, "{'c': 4, 'coef0': -2, 'gama': 0.00390625}"
